Localidade,Provincia,Nivel,Tipo,Familia ou rama,Estudo,Centro ou sede,Universidade,Campus,Prazas,Fonte
Chantada,Lugo,FP,fp,Transporte e mantemento de vehículos,Mantemento de vehículos,IES Val do Asma,,,18,https://www.edu.xunta.gal/fp/oferta-fp
A Fonsagrada,Lugo,FP,fp,Agraria,Actividades agropecuarias,IES Plurilingüe Fontem Albei,,,18,https://www.edu.xunta.gal/fp/oferta-fp
A Fonsagrada,Lugo,FP,fp,Informática e comunicacións,Informática de oficina,IES Plurilingüe Fontem Albei,,,18,https://www.edu.xunta.gal/fp/oferta-fp
Foz,Lugo,FP,fp,Hostalaría e turismo,Cociña e restauración,IES de Foz,,,18,https://www.edu.xunta.gal/fp/oferta-fp
Foz,Lugo,FP,fp,Administración e xestión,Servizos administrativos,IES de Foz,,,18,https://www.edu.xunta.gal/fp/oferta-fp
Guitiriz,Lugo,FP,fp,Fabricación mecánica,Fabricación e montaxe,IES Poeta Díaz Castro,,,18,https://www.edu.xunta.gal/fp/oferta-fp
Mondoñedo,Lugo,FP,fp,Agraria,Agroxardinaría e composicións florais,,,,18,https://www.edu.xunta.gal/fp/oferta-fp
Monforte de Lemos,Lugo,FP,fp,Administración e xestión,Servizos administrativos,IES A Pinguela,,,18,https://www.edu.xunta.gal/fp/oferta-fp
Monforte de Lemos,Lugo,FP,fp,"Téxtil, confección e pel",Tapizaría e cortinaxe,IES A Pinguela,,,18,https://www.edu.xunta.gal/fp/oferta-fp
Monforte de Lemos,Lugo,FP,fp,Electricidade e electrónica,Electricidade e electrónica,IES Francisco Daviña Rey,,,18,https://www.edu.xunta.gal/fp/oferta-fp
Monforte de Lemos,Lugo,FP,fp,Transporte e mantemento de vehículos,Mantemento de vehículos,IES Francisco Daviña Rey,,,18,https://www.edu.xunta.gal/fp/oferta-fp
Monterroso,Lugo,FP,fp,Informática e comunicacións,Informática de oficina,IES de Monterroso,,,18,https://www.edu.xunta.gal/fp/oferta-fp
Palas de Rei,Lugo,FP,fp,Electricidade e electrónica,Electricidade e electrónica,IES do Camiño,,,18,https://www.edu.xunta.gal/fp/oferta-fp
A Pontenova,Lugo,FP,fp,Fabricación mecánica,Fabricación e montaxe,IES Enrique Muruais,,,18,https://www.edu.xunta.gal/fp/oferta-fp
Ribadeo,Lugo,FP,fp,Transporte e mantemento de vehículos,Mantemento de vehículos,CIFP Porta da Auga,,,18,https://www.edu.xunta.gal/fp/oferta-fp
Ribadeo,Lugo,FP,fp,Administración e xestión,Servizos administrativos,CIFP Porta da Auga,,,18,https://www.edu.xunta.gal/fp/oferta-fp
Sarria,Lugo,FP,fp,Fabricación mecánica,Fabricación e montaxe,IES Gregorio Fernández,,,18,https://www.edu.xunta.gal/fp/oferta-fp
Sarria,Lugo,FP,fp,Administración e xestión,Servizos administrativos,IES Gregorio Fernández,,,18,https://www.edu.xunta.gal/fp/oferta-fp
Vilalba,Lugo,FP,fp,Informática e comunicacións,Informática de oficina,IES Lois Peña Novo,,,18,https://www.edu.xunta.gal/fp/oferta-fp
Vilalba,Lugo,FP,fp,Transporte e mantemento de vehículos,Mantemento de vehículos,IES Lois Peña Novo,,,18,https://www.edu.xunta.gal/fp/oferta-fp
Viveiro,Lugo,FP,fp,Transporte e mantemento de vehículos,Mantemento de vehículos,IES María Sarmiento,,,18,https://www.edu.xunta.gal/fp/oferta-fp
Viveiro,Lugo,FP,fp,Administración e xestión,Servizos administrativos,IES María Sarmiento,,,18,https://www.edu.xunta.gal/fp/oferta-fp
Bande,Ourense,FP,fp,Informática e comunicacións,Informática de oficina,IES Aquis Querquernis,,,18,https://www.edu.xunta.gal/fp/oferta-fp
O Barco de Valdeorras,Ourense,FP,fp,Transporte e mantemento de vehículos,Mantemento de vehículos,IES Lauro Olmo,,,18,https://www.edu.xunta.gal/fp/oferta-fp
O Barco de Valdeorras,Ourense,FP,fp,Imaxe persoal,Peiteado e estética,IES Lauro Olmo,,,18,https://www.edu.xunta.gal/fp/oferta-fp
Carballeda de Valdeorras,Ourense,FP,fp,Edificación e obra civil,Reforma e mantemento de edificios,IES Sección de Sobradelo-Carballeda,,,18,https://www.edu.xunta.gal/fp/oferta-fp
O Carballiño,Ourense,FP,fp,Electricidade e electrónica,Electricidade e electrónica,IES Manuel Chamoso Lamas,,,18,https://www.edu.xunta.gal/fp/oferta-fp
O Carballiño,Ourense,FP,fp,Transporte e mantemento de vehículos,Mantemento de vehículos,IES Manuel Chamoso Lamas,,,18,https://www.edu.xunta.gal/fp/oferta-fp
Celanova,Ourense,FP,fp,Electricidade e electrónica,Electricidade e electrónica,IES Celanova Celso Emilio Ferreiro,,,18,https://www.edu.xunta.gal/fp/oferta-fp
Celanova,Ourense,FP,fp,Administración e xestión,Servizos administrativos,IES Celanova Celso Emilio Ferreiro,,,18,https://www.edu.xunta.gal/fp/oferta-fp
Maceda,Ourense,FP,fp,Informática e comunicacións,Informática de oficina,IES San Mamede,,,18,https://www.edu.xunta.gal/fp/oferta-fp
A Pobra de Trives,Ourense,FP,fp,Electricidade e electrónica,Electricidade e electrónica,IES Xermán Ancochea Quevedo,,,18,https://www.edu.xunta.gal/fp/oferta-fp
