Titulo_marcador,Tipo,Provincia,Localidade,Centro_ou_sede,Enderezo_para_Google,Universidade,Campus,Familias_ou_ramas,Modalidades,Numero_de_estudos,Estudos,Prazas_total_indicadas,Fontes,Nota_de_rigor
IES Monte Neme · Carballo,FP grao superior,A Coruña,Carballo,IES Monte Neme,"IES Monte Neme, Carballo, A Coruña, Galicia, España",,,Administración e xestión | Electricidade e electrónica,Oferta ordinaria,2,Administración e finanzas (Oferta ordinaria) || Sistemas de telecomunicacións e informáticos (Oferta ordinaria),52,i_portal_oferta_clasificada_por_prov_concello_ordinario_17-06-2025.pdf,Xeolocalización mediante Google My Maps a partir do nome do centro/sede e localidade; revisar manualmente marcadores ambiguos tras a importación.
IES Punta Candieira · Cedeira,FP grao superior,A Coruña,Cedeira,IES Punta Candieira,"IES Punta Candieira, Cedeira, A Coruña, Galicia, España",,,Administración e xestión | Electricidade e electrónica | Instalación e mantemento,Oferta modular | Oferta ordinaria,5,Administración e finanzas (Oferta ordinaria) || Dixitalización do mantemento industrial (Oferta ordinaria) || Mecatrónica industrial (Oferta modular) || Mecatrónica industrial (Oferta ordinaria) || Sistemas electrotécnicos e automatizados (Oferta modular),72,i_portal_oferta_clasificada_por_prov_concello_modular_24-06-2025.pdf | i_portal_oferta_clasificada_por_prov_concello_ordinario_17-06-2025.pdf,Xeolocalización mediante Google My Maps a partir do nome do centro/sede e localidade; revisar manualmente marcadores ambiguos tras a importación.
IES Fernando Blanco · Cee,FP grao superior,A Coruña,Cee,IES Fernando Blanco,"IES Fernando Blanco, Cee, A Coruña, Galicia, España",,,Administración e xestión,Oferta ordinaria,1,Administración e finanzas (Oferta ordinaria),30,i_portal_oferta_clasificada_por_prov_concello_ordinario_17-06-2025.pdf,Xeolocalización mediante Google My Maps a partir do nome do centro/sede e localidade; revisar manualmente marcadores ambiguos tras a importación.
EFAG Fonteboa · Coristanco,FP grao superior,A Coruña,Coristanco,EFAG Fonteboa,"EFAG Fonteboa, Coristanco, A Coruña, Galicia, España",,,Agraria | Comercio e márketing,Oferta ordinaria,3,Gandaría e asistencia en sanidade animal (Oferta ordinaria) || Paisaxismo e medio rural (Oferta ordinaria) || Transporte e loxística (Oferta ordinaria),60,i_portal_oferta_clasificada_por_prov_concello_ordinario_17-06-2025.pdf,Xeolocalización mediante Google My Maps a partir do nome do centro/sede e localidade; revisar manualmente marcadores ambiguos tras a importación.
CIFP Universidade Laboral · Culleredo,FP grao superior,A Coruña,Culleredo,CIFP Universidade Laboral,"CIFP Universidade Laboral, Culleredo, A Coruña, Galicia, España",,,Actividades físicas e deportivas | Electricidade e electrónica | Enerxía e auga | Instalación e mantemento | Marítimo-pesqueira | Seguridade e medio ambiente,Oferta ordinaria,19,Acondicionamento físico (Oferta ordinaria) || Acondicionamento físico (quenda de tarde) (Oferta ordinaria) || Automatización e robótica industrial (Oferta ordinaria) || Ciberseguridade en contornos das tecnoloxías de operación (Oferta ordinaria) || Desenvolvemento de proxectos de instalacións térmicas e de fluídos (Oferta ordinaria) || Eficiencia enerxética e enerxía solar térmica (Oferta ordinaria) || Enerxías renovables (Oferta ordinaria) || Ensinanza e animación sociodeportiva (Oferta ordinaria) || Fabricación intelixente (Oferta ordinaria) || Mantemento de instalacións térmicas e de fluídos (Oferta ordinaria) || Mecatrónica industrial (Oferta ordinaria) || Modelaxe da información da construción (BIM) (Oferta ordinaria) || Organización do mantemento de maquinaria de buques e embarcacións (Oferta ordinaria) || Prevención en riscos profesionais (Oferta ordinaria) || Robótica colaborativa (Oferta ordinaria) || Sistemas de telecomunicacións e informáticos (Oferta ordinaria) || Sistemas electrotécnicos e automatizados (Oferta ordinaria) || Transporte marítimo e pesca de altura (Oferta ordinaria) || Transporte marítimo e pesca de altura (quenda de tarde) (Oferta ordinaria),442,i_portal_oferta_clasificada_por_prov_concello_ordinario_17-06-2025.pdf,Xeolocalización mediante Google My Maps a partir do nome do centro/sede e localidade; revisar manualmente marcadores ambiguos tras a importación.
CIFP Ferrolterra · Ferrol,FP grao superior,A Coruña,Ferrol,CIFP Ferrolterra,"CIFP Ferrolterra, Ferrol, A Coruña, Galicia, España",,,Electricidade e electrónica | Fabricación mecánica | Transporte e mantemento de vehículos,Oferta ordinaria,7,Automatización e robótica industrial (Oferta ordinaria) || Automoción (Oferta ordinaria) || Construcións metálicas (quenda de tarde) (Oferta ordinaria) || Deseño en fabricación mecánica (Oferta ordinaria) || Fabricación aditiva (Oferta ordinaria) || Robótica colaborativa (Oferta ordinaria) || Sistemas de telecomunicacións e informáticos (Oferta ordinaria),153,i_portal_oferta_clasificada_por_prov_concello_ordinario_17-06-2025.pdf,Xeolocalización mediante Google My Maps a partir do nome do centro/sede e localidade; revisar manualmente marcadores ambiguos tras a importación.
CIFP Leixa · Ferrol,FP grao superior,A Coruña,Ferrol,CIFP Leixa,"CIFP Leixa, Ferrol, A Coruña, Galicia, España",,,Artes gráficas | Sanidade | Servizos socioculturais e á comunidade,Oferta ordinaria,5,Animación sociocultural e turística (Oferta ordinaria) || Deseño e edición de publicacións impresas e multimedia (Oferta ordinaria) || Educación infantil (Oferta ordinaria) || Hixiene bucodental (Oferta ordinaria) || Laboratorio clínico e biomédico (Oferta ordinaria),126,i_portal_oferta_clasificada_por_prov_concello_ordinario_17-06-2025.pdf,Xeolocalización mediante Google My Maps a partir do nome do centro/sede e localidade; revisar manualmente marcadores ambiguos tras a importación.
CIFP Rodolfo Ucha Piñeiro · Ferrol,FP grao superior,A Coruña,Ferrol,CIFP Rodolfo Ucha Piñeiro,"CIFP Rodolfo Ucha Piñeiro, Ferrol, A Coruña, Galicia, España",,,Actividades físicas e deportivas | Administración e xestión | Comercio e márketing | Edificación e obra civil | Hostalaría e turismo | Informática e comunicacións,Oferta ordinaria,13,"Administración de sistemas informáticos en rede (Oferta ordinaria) || Administración e finanzas (Oferta ordinaria) || Asistencia á dirección (Oferta ordinaria) || Ciberseguridade en contornos das tecnoloxías da información (Oferta ordinaria) || Desenvolvemento de aplicacións en linguaxe Python (Oferta ordinaria) || Desenvolvemento de aplicacións multiplataforma (Oferta ordinaria) || Desenvolvemento de aplicacións web (quenda de tarde) (Oferta ordinaria) || Ensinanza e animación sociodeportiva (Oferta ordinaria) || Guía, información e asistencia turísticas (Oferta ordinaria) || Márketing e publicidade (Oferta ordinaria) || Proxectos de edificación (Oferta ordinaria) || Redacción de contidos dixitais para márketing e vendas (Oferta ordinaria) || Xestión de vendas e espazos comerciais (Oferta ordinaria)",360,i_portal_oferta_clasificada_por_prov_concello_ordinario_17-06-2025.pdf,Xeolocalización mediante Google My Maps a partir do nome do centro/sede e localidade; revisar manualmente marcadores ambiguos tras a importación.
ESCO Náutico-Pesqueira · Ferrol,FP grao superior,A Coruña,Ferrol,ESCO Náutico-Pesqueira,"ESCO Náutico-Pesqueira, Ferrol, A Coruña, Galicia, España",,,Marítimo-pesqueira,Oferta ordinaria,2,Organización do mantemento de maquinaria de buques e embarcacións (Oferta ordinaria) || Transporte marítimo e pesca de altura (Oferta ordinaria),44,i_portal_oferta_clasificada_por_prov_concello_ordinario_17-06-2025.pdf,Xeolocalización mediante Google My Maps a partir do nome do centro/sede e localidade; revisar manualmente marcadores ambiguos tras a importación.
IES Concepción Arenal · Ferrol,FP grao superior,A Coruña,Ferrol,IES Concepción Arenal,"IES Concepción Arenal, Ferrol, A Coruña, Galicia, España",,,Seguridade e medio ambiente,Oferta ordinaria,1,Química e saúde ambiental (Oferta ordinaria),22,i_portal_oferta_clasificada_por_prov_concello_ordinario_17-06-2025.pdf,Xeolocalización mediante Google My Maps a partir do nome do centro/sede e localidade; revisar manualmente marcadores ambiguos tras a importación.
